	영화리뷰	label
55	이제는 다시 못 볼 블랙위도우를 너무 잘 정리해줬습니다... 어벤저스 엔드게임, 인피니티워 볼때처럼 등골이 오싹할 정도로 감동은 아니지만 한 히어로의 마무리를 제대로 담아낸 영화입니다.그동안 좋은 연기해주신 스칼렛 요한슨, 마무리 잘 해준 마블에게 감사한 마음 올립니다.	1
56	너무 재미없네요스토리는 무엇 헐	0
57	너무 멋있는 스칼렛 요한슨 액션이 눈 뜰수없을만큼 멋있어요~	1
58	진짜 마블 최고의 영화 ! 시간 가는 줄 모르고 봄	1
59	관객이 스토리에 온전히 이입하고 이해할수 있게 만든 영화.. 정말 시간가는줄 모르고 봤어요 동생이랑 둘다 벅차서 눈물 그렁그렁했습니다 ㅎ ㅏ... 오슷부터 연출 연기 스토리 모두 최고였어요	1
63	긴말 안한다.마블이 마블했다.	1
64	믿고보는 마블입니다.	1
66	연기, 연출, 스토리 뭐 하나 빠지는게 없네요! 최고ㅠ	1
69	마블 초장기부터 마지막까지 없어선 안될 히어로...이젠 못 보는게 제일 아쉽다	1
70	나타샤와 옐레나의 케미가 재미있었음 ~ 기존 마블보다 액션감이 살짝 떨어지긴 했지만, 그래도 마블 영화 만큼 볼만은 했습니다. 오랜만에 마블보니 반가웠습니다.	1
72	스칼렛 요한슨이라는 이름으로 다 끝났다. 꼭 아이멕스에서 보세요. 여성감독, 여성배우들의 마블을 이런 색감입니다	1
74	다른이들에게 어떨지 몰라도, 나에겐 완벽한 서사의 블랙 위도우였다. 차세대 블랙 위도우도 기대가 된다!	1
76	역시 마블 + 서사의 탄탄함 + 귀염뽀쨕 옐레나와 R-jangnyeo 냇의 콜라보 좋았어요	1
77	초반 아역 시기나 중반 가족상봉 했을때는 좀 지루할 수 있지만스토리상 필요한 부분이라고 생각하고 재밌게 봤어요~!!액션은 말할것도 없이 재밌습니다. 특히 후반부 공중씬은 시원합니다 ㅋㅋㅋㅋ	1
78	오랜만에 영화관갔는데 졸면서 봤음..1시간 30분 버티다 나갔네요액션영환데 대화가 반이네요	0
79	굿바이 스칼렛요한슨. 한시대를 함께보낸 나의 블랙위도우	1
83	재밌었다! 특유의 마블 유머가 재밌었음	1
86	여성 히어로 액션물이 많이 나오면 좋겠다	1
87	진짜 너무 재밌었어요 재미없다는 소리가 어디서 나온건가요.. ㅜㅜㅜㅜ 블위짱..	1
88	액션은 역시 액션은 역시 액션은 역시	1
89	너무 재밌게 봤습니다 진짜 블랙위도우 최고	1
93	인간의 힘으로 불가능한 액션! 재밌었어요.	1
94	마블팬으로써 이번 영화는 많이실망.. 대부분의 마블 영화처럼 화려한 액션 및 재밌는 스토리가 생각보다 없는 편이였는듯. 솔직히 영화보면서 지루하다는 생각 처음 들어봄.	0
96	액션 굳! 스토리가 조금 아쉽지만 액션과 케미로 다 커버 가능 영화관에서 봐도 아깝지 않음	1
97	역시 마블은 마블. 스토리도 탄탄하고 액션도 최고였다. 스칼렛요한슨 수고하셨어요. 특히 초반에 두 자매의 아이에서 성인으로의 성장과정을 너무 잘 표현한듯.	1
99	긴 영화시간이 금방 지나갈 정도로 화려한 액션이 끊임없이 나옵니다. 일단 보면 극장 티켓값은 합니다.	1
100	영화 잼잇고 사운드가 영화처음부터 짱이고 잼이없을줄알앗는대 진짜잼잇어요 근대 마지막에끝날때쯤에는 별로 이지만요 아무튼 영화 지루하지않고 스릴잇게 잼잇게잘봣습니다	1
102	가면갈수록 여운이 짙게 남아요. 결말을 아는 인물의 영화라서 그런가봐요. 나타샤의 죽음이 내포한 무게를 잘 보여주는 영화라고 생각합니다.	1
103	블랙 위도우 살려내라 ㅠ	1
107	그냥 최고임 ㅠ_ㅠ... 나타샤누나 다른지구에서 꼭 놀러와요 ㅠㅠ	1
108	스칼렛 요한슨 너무 멋있습니다	1
110	하,,,보낼 수 없어 ㅠㅠㅠㅠ 연출 환장합니다 좋아서,,, 연기력은 말해 무엇하리 또 보러 가야겠다	1
112	오프닝 부터 명작... 잘 만드려고 한 제작자들의 애정이 묻어나는 영화다. 이걸 왜 이제서야 내줬는지, 왜 한편으로 끝내는지 이해가 안될 정도로 명작이다 ㅠㅠ 나타샤....	1
113	최고예요 스칼렛 요한슨 그리고 배우분들 모두 전세계를 주름 잡으세요 사랑해요 . .	1
114	액션좋고 연기좋고.특히 나타샤의 인생을 볼수있었다는점에서 좋았음. 어린나타샤 특히 인상깊음. 기존의 마블영화에선 볼수없었던 가족애도 있었고.근데 그 가족애가 평범한건아님. 그래서 더좋음.	1
117	눈물 날 뻔 했어요. 최고	1
118	믿고보눈 마블??역시 돈이 아깝지 않고 그냥 재미있음 말이 필요음슴	1
119	중간에 말아 많아서 그렇지 재밌음. 그런데.. 스칼렛도 밑이 아닌 위에서 구도를 잡은 신에서는 숏다리에 비율이 안습이더라.. 작은 키가 그동안 안 보였는데 감독이 여자라 보적보하는건지 몇장면이 그렇더라.	1
120	진짜 최고에요 기다린만큼 행복했어요 ㅠㅠ	1
121	마블 고소함.슬픈영화는 아닌데 마블 빠순이는 울었다..	1
122	액션이 화려해서 좋았어요	1
123	블랙위도우이제 못보네요ㅜ	1
125	간만에 멋있어서 소름 돋았다	1
126	나타샤 살려내....이제 가족들 있어서 행복해질라는구만 ㅠ	1
127	솔까 요한슨 마지막영화 아니었으면 9점영화아님 영화자체론 7점 퍼스트어벤져 보다 나은수준 ..평점 너무 높아서 1점줌	0
128	Thank you. Natasha Romanoff.	1
129	진짜졸잼…또보고싶어요	1
130	정말 최고…한번더 볼라구요	1
131	진짜 꼭한번 보시기바랍니다	1
132	이미 만들어진 이야기를 새롭게 만드는 것은 얼마나 어려운 일인가? 끝이 난 이야기의 숨겨진 이야기를 흥미롭게 만들기는 얼마나 어려운 일인가? 이 두 가지를 모두 해낸 영화	1
133	진짜 꼭 보세요들 마블 포에버	1
134	조금 지루한 부분과 위도우와의 격투신을 많이 기대했는데 그런 부분이 아쉽고, 엄청난 눈사태도 간장감을 조금 더 보여주면 좋았을텐데... 그래도 스칼렛 나타샤 멋져요~	1
135	더운 여름 초2아들과 자전거타고 같이 영화보러갔어요.재밌고 유쾌하고 다소 진지한 영화입니다.추천합니다!	1
137	????	1
138	역시 꿀잼이네요마블 믿고봅니다	1
139	진짜 블위 영화 나왔음 좋겠다 생각했는데 기대 이상이었음 사랑합니다 마블 블랙위도우	1
140	블랙위도우!!!!꿀잼 ㅠㅠㅠ 너무멋있어요	1
141	나타샤의 인생이 어땠는지를 볼 수 있어서 좋았어요. 그리고 오프닝 때 나타샤의 과거를 보여주면서 나오는 노래가 상황과 잘 어울리고 특유의 분위기가 영화와 잘 어울렸어요	1
142	마블 영화는 단 한편도 실망시킨 적이 없음	1
143	또 보러 가고 싶어지는 영화	1
144	더 많은 여자들의 이야기가 나와야 한다 .	1
145	웅장한 마블 영화 기다렸던만큼 보길 잘했다	1
146	중학생아들딸과 같이 갔는데 정말 재미났다. 간만 극장이라 넘 신났다.	1
147	역시 마블과 스칼렛 요한슨 최고~!레이첼 와이즈도 오랜만에 봐서 너무 좋았네요 ㅎㅎ	1
148	오랜만에 화끈한 액션영화를 본 것 같네요. 시간 죽이기에는 아주 좋 습니다	1
149	와 진짜 재밌다 ㅜㅜ 인생영화	1
151	블랙위도우.. 나타샤.. 하 기다림만큼 재밌었습니다.. ㅠㅠㅠ어벤져 떠나지마 엉엉	1
152	스토리가 설득력이 부족했음	0
153	마블 페이즈 4의 시작이 위대합니다.	1
154	좋았어요♡ㅎ눈물 찔끔	1
155	OO노잼 잘뻔..마블영화중 제일 노잼	0
156	내가 본 마블영화중 가장 억지설정, 억지감동이 심한 내용	0
158	마블은 역시다. 실망시키지 않음	1
159	개봉 첫날에 봤었는데 두번째 관람을 했네요....끝까지 고생 많았어요 굿바이 블랙위도우	1
162	올만에 재밌게봤어요~~~시간가는줄몰랐어요	1
163	생각했던것보다 훨씬 재미있었어요	1
165	역시 마블… 너무 재밌었습니다~	1
166	간만에 진짜 짜릿했습니다~ 요한슨 너무 멋져요!!!	1
168	오랜만에 마블영화 재밌게 봄	1
169	처음엔 재미없을 거 같았는데 막상 보고나니 너무 좋았어요. 아직까지도 여운이 남아있고 한 번 더 보고 싶은 영화입니다. 스칼렛 요한슨이 연기를 잘해줘서 더 몰입이 잘 됐습니다	1
170	오프닝 만으로도 보러갈 가치가 있음...	1
171	이건 뭐...최고자나	1
172	이건머지 실망이다 명절특집할때나 볼걸 ㅠ	0
173	언니 사랑해요	1
174	스토리는 조금 뻔하고 지루한 감이 있었지만 액션씬과 요한슨의 연기가 최고였습니당	1
175	요한슨 언니 멋져요? 또 다시 봐야지	1
176	주변에서 재밌다고했지만 이렇게 재밌을지는 몰랐다. 솔직히 다른 어벤저들은 초인적인 힘이 있다보니 액션 화려해도 CG영화를 보는 기분이 컸는데 나타샤와 옐레나의 액션을 볼 때는 사람의 액션에 감탄하면서 봤던 듯. 스토리, 액션, 영상미 진짜 좋고.. 타임라인상 앞뒤 영화들과도 이어져서 반가웠음.	1
177	기대없이 보았지만 재미있고 나름의 스토리도 있는 액션물	1
178	마블 역대 최고의 오프닝	1
180	영화관에 가서 봐야되는 영화	1
181	마블과 아름다운 이별을 한 나타샤	1
184	이정도는 되어야 볼만 함	1
185	한순이 언니표 액션신의 마무리	1
187	스칼렛 요한슨을 향한 헌사... 영화 자체만 놓고 봐도 흠잡을 데 없다	1
188	So very good	1
189	안보면 후회함 ㄹㅇ 마블은 마블이다	1
191	왜남자 8점 여자 9.5점인줄 알겠다. 남자가 볼땐 D쥐게 재미없음. 혜지ㄹㅕㄴ들을 위한 영화 .그 이상이하도 아님	0
192	제가  액션영화는 거의 초짜인데  블랙위도우를 보면서  긴장감,쫄깃,흥미,몰입를 느끼게 된거같아요~스칼렛요한슨 배우언니를 보고 빠져버려서  나오신 마블영화들   정주행하고있습니다.너무나 멋지구  이쁘시구  진작에 보았다면  좋았을걸  제생의 첫  외국배우언니에게 빠졌답니다  ^^	1
193	이게9점ㅋㅋㅋㅋ 마블영화 암만봐도 노잼이라 이제 극장에서안볼거임	0
194	가족애 액션 모두 완벽♡	1
195	오랜만에 본 마블 영화, 충분히 즐겁게 보고 왔습니다.	1
196	돌아와요 블랙위도우 코로나때문에 관객수 안타깝....	1
197	이게 재밌다구요?   액션은 크게없구 대화장면이 너무많아 졸립구 지루해서 중간에 나올라다가 돈아까워서 그냥 봣는데 돈아깝구 시간 아까운 영화였네요  휴~~ ~~  사람마다 다르겟지만 전 진심 재미없었네요~~	0
199	나타샤 또보고 싶다. 너무 멋져서 말잇못..	1
202	액션이 너무 재밌었어요 나타샤 진짜 멋져요	1
203	감동은 딱히 못 느꼈음.. 액션은 갓마블스토리는 적당함  나머지는 무난하게 평범함.	1
204	블랙위도우의 정체성을 완벽하게 정립하며 나타샤를 아름답게 마무리했다	1
205	위도우가 이제 나오지 않는다고 해서 조금은 아쉽지만...그녀의 후계(?)동생이 하이라이트를 찍을거라 믿는다!!굉장히 꿀잼~☆☆	1
206	기대 이상. 마블 영화 재미없다고 생각하는 사람인데 여성 감독에 좋은 배우들까지 나온다고 해서 봤어요. 이 영화는 이전 마블 영화와 달라서 재밌었어요.	1
207	나타샤 살려내 ㅠㅠ~~~~ 오프닝부터 멋있다. 예전에 스카이폴 오프닝 처음봤을때의 그 전율이랑 똑같음	1
208	재미있게 잘봤어요!!	1
209	소문난 잔치에 먹을것이 없다.	0
211	보고 나니 더욱 아쉽다. 나타샤도 가족이 있고 소중한 사람들이 있었는데 꼭 희생했어야만 했을까.. 굳이 두 번씩이나 소울스톤을 찾으러 가는 모습을 보여줘야 했는지 영 아쉽다	1
212	나타샤를 이렇게 보내다니.. 그래도 가족이 둘이나 있었음은 부럽네요. 고마웠어요.	1
213	믿고보는 마블인가	1
214	마블영화중 가장 재미없었음…	0
219	팬이아니어도 관람가능한 블랙위도우 단독 서사	1
221	역시 믿고보는 마블!!!	1
224	나타샤! 액션 미쳤다 정말 완벽하다	1
225	이렇게 마블도 한물 가는구나... 예전의 그 느낌이 점점 사라지네	0
226	역시마블 믿고 봐요 ㅠㅠ	1
227	너무도 뻔한 스토리에 진부한 연출... 마블 특유의 긴장감 및 개그포인트등 하나도 발견못함 마블영화만 아니었으면 중간에 나왔을듯 뭐지진짜? 이번건 너무 실망인데	0
229	오프닝 역대 마블영화 중 제일 좋았어요	1
232	정말 재밌었습니다나타샤 옐례나 가족스토리도 좋았고 액션도 좋았습니다	1
236	액션도 좋았고 항상 캡틴 토르 아이언맨 헐크 위주로 하다가 블랙 위도우 알게 되서 좋은 영화 였네요	1
238	너무나 기대가 크긴 햇지만 그래도 마블은 마블.! 믿고 볼만 합니다	1
239	시빌워 끝나고 나왔어야할 영화를 이제와서 내준게 어이없는것빼고는 모든게 넘 좋았습니다 나타샤 살려내...	1
240	정말 재밌게 봤습니다.	1
241	마블을 거의 안보는 사람이었는데도 재밌었다.	1
242	마블영화중 최악임 돈 아까움 추석때 볼걸	0
243	화끈한 액션신에 코믹까지 간만에 잼난영화	1
245	오랜만에 영화보러 극장가서 후회없이 잘 즐기다 나왔습니다~	1
246	액션이 스케일이 크고 멋지고 신납니다 ㅋㅋㅋ 올해, 코로나를 원펀치로 날려버릴 마블 액션물이 왔습니다 ㅎㅎ 스칼렛 짱!!!^^ 마블 짱!!!^^	1
247	너무너무 멋있어요 싸우는 장면도 멋있고	1
248	맨몸 액션 존멋. 블랙위도우 사랑해	1
249	굿굿굿굿나이스베리굿	1
250	살려내....살려내라 이놈들아...	1
251	긋 좋네요 다들 한번씩 보세요	1
254	내 마음속 마블 영화 중 1위...ㅠㅠ 존멋 ㅠㅠ	1
259	블랙 위도우 처음이자 마지막을 멋지게매듭 지을 수 있는 좋은작품. 특히 오프닝 시퀀스를보고 이 영화의 연출과 영상미에 소름이 돋았다.불쾌하고 자극적인 장면 없이도 깔끔하고 세심한 연출로 나타샤 로마노프가 어린시절 레드룸에서 겪었던 어두운 과거와 레드룸의잔혹성을 충분히 잘 보여 주었고 원곡과 전혀다르게 편곡한 노래는 분위기를 한층 고조 시켜주며 영화의 장면과 너무 잘어울렸다.	1
260	아주 시원한 액션~~~ 스칼렛요한슨 최고~~	1
262	어벤져스에서 나타샤랑 캡틴만 하는 일이 없다고 느껴지면 이 영화 꼭 보시길. 캡틴만 하는게 없다고 느껴지게 될 것임.	1
263	나타샤ㅜㅜ한번 더 보러갈거야ㅜㅜ	1
265	다시는 나타샤를 볼 수 없다는게 슬플뿐	1
267	또 보고 싶어요.... 나타샤 가지마 ㅠ	1
269	최고의 영화...꼭 보세요....극장에서..강추	1
270	노잼;;; 아니 진심 중간중간에 개그치는거보고 말 그대로 '?' 이런 기분임 뜬금없을때 개그치고 뜬금없이 감동포인트 넣음 심지어 재밌지도 않고 감동적이지도 않음,,기대 안하고갔는데도 기대이하남자친구도 옆에서 겁나 괴로워함쿠키영상이고 뭐고 안보고 걍 나옴 ㅅㄱ	0
271	최근 본 영화 중 최고 연기, 연출, 액션, ost  뭐 하나 빠지는거 없이 만족 할 만한 영화. 감동까지 있으니 완벽하다도 할 수 잇음 영화값이 아깝지 않앗던 영화	1
272	재밌어요 진짜로..감동적이고 멋지고 역동적이고 등장인물 모두가 다해먹은 영화	1
273	블랙위도우는 남들처럼 평범한 삶을 원했으나 끝까지 누군가를 위해 살다가 갔다는 게 너무 그냥 엉엉 울고 싶어짐	1
275	블랙 위도우는 역시 카리스마였어!!!	1
277	역시 믿고 보는 마블이네요! 추천!!	1
279	너무 좋다... 스칼렛 요한슨이랑 플로렌스 퓨 케미 최고!	1
280	나타샤에게 행복과 불운이...반대였어야 했는데..	1
281	오프닝 크레딧부터 엔딩 크레딧까지 모든 게 완벽했던 영화	1
282	너무..재밌어요 누가 재미없댔어 나와ㅜ	1
283	14년보다 조금 덜 살면서, 다시 한 번 더 보고 싶다라고 생각한 영화는 처음이었던것 같다. 솔로영화이기에 할 수 있는, 속 깊은 이야기가 남들에게는 지루하고 때에 맞지 않는다 느낄 수 있어도, 나에게는 깊은 감동을 주었고 블랙위도우라는 캐릭터를 더 깊게 알 수 있었던 인생영화였다.	1
284	좋았어요~ 마지막이라니 아쉽네요	1
285	그냥 오프닝부터가 레전드임	1
286	스칼렛요한슨 ㅃㅃ 아쉬움을 달래주는 통통튀는 동생 굿	1
288	두시간 넘는 런닝타임이 헛되지 않음	1
289	멜리나 존예 스칼렛도 이뻣지만.. 엄마가 짱이였다	1
291	블랙위도우 더 이상 말이 필요없다	1
292	블위 보고 마블 첨부터 보려고합니다!! 엔딩 크레딧 뒤에 영상있어요!! 전 보고 눈에서 육수 한바가지 쏟아냄... 다만 그 영상이 엔드게임? 스포요소가 쫌 있어요	1
294	마블은 마블이다.  특히나 블랙위도우의 첫 편이라 그런지 더 재밌게 봤다.	1
295	스토리가 아쉽네요..	0
296	진짜 너무 재밋습니다 ㅠㅠ액션이 생각보다 엄청많앗어요	1
297	그 끝은 혼자가 아니였음을	1
298	정말 임팩트있던 오프닝부터 한번도 눈을 땔 수 없던 영화였습니다. OST부터 믿고보는 블랙위도우, 그녀의 가족, 스토리가 너무 마음에 들었습니다. 나타샤라는 사람이 어벤져일 수 있었던 강인함이 보여 보는 내내 앞으로 나타샤없는 마블을 감히 상상하기 싫었습니다. 내 기억속 블랙위도우, 나타샤는 영원할 것입니다	1
299	이 영화보고 PC묻었네 뭐네 전혀 설레발 전혀이해 안감. 그냥 스토리만 딱 보면 될것 같은데 그냥 블랙 위도우 이야기. 그리고 모든 떡밥회수. 끝	1
300	너무재밌었어요 블랙위도우 짱	1
301	최고의 영화 결말을 아는 그녀의 연대기를 보는 내내 눈물을 그칠 수 없었다	1
302	역시 믿고보는 마블 작년부터 기다렸어요	1
303	평소보던 마블의 화려한 볼거리는 아니지만 스토리 탄탄함. 빌런 밸런스가 아쉬움	1
304	평점 처음달아요 나타샤 최고..	1
308	재미써요 꼭 한번 보세용	1
311	액션 굳 연기 굳 스토리 굳	1
315	마블은 역시 마블!!!!	1
316	보다 울었다... 여자라면 꼭 봐야하는 영화	1
317	나타샤도 가족 있다고.	1
318	연출이 미쳤음. 서사도 미쳤음	1
320	정말 재미없다. 돈 아까움	0
321	N차관람중 너무재밌어요	1
322	재밌게 봤어요! 이제 나타샤를 볼 수 없다는게 너무 슬퍼요 ㅠ	1
323	마블 멤버중 블랙위도우를 젤 조아해서 너무 기대하구 봤는데...진짜 기대를 충족시키는 영화였어...하 진짜 또볼테다 꺄륵 ㅜㅜ블랙위도우 짱짱 또 영화만들어주세요 흑흑	1
324	우왕굿!!! 숨돌릴틈없이 몰입해서 봤습니다심심한 하루의 한줄기 빛 ㅠㅠ	1
325	와.. 어벤져스 영화같으면서도 그렇지 않은 듯한 몰입감을 가져왔어요.. 기대 안 했는데 어벤져스시리즈에서 제일 감동적인 그러나 화끈한 영화가 아닐까 합니다.	1
326	개봉 첫 날 봤는데 블위 팬으로서 만족합니당	1
327	마블 팬이어서 코로나 시국에도 큰 맘 먹고 보러 갔었는데 기대 이상이네요>< 너무 재밌었어요늦기 전에 꼭 보러 가세요! 전 N 차 관람 예약	1
328	스칼렛 요한슨이 연기한 블랙위도우를 볼수있어서큰 행운이였어요 Johansson you are the best actress i've ever seen in my life god bless you !!!!	1
329	초반부 옐레나와 나타샤의 부다페스트장면이 재미있었어요	1
330	재밌었어요. 모두가 알고있는 그 마지막은 너무 슬펐어요. 동생도 귀여웠음. 마블 특유의 코믹한 부분도 너무 좋았구요, 생각보다 가족애가 강조되어서 그것도 좋았습니다. 역시 가족영화 갓마블	1
332	꼭 보시라우....,!	1
334	기대하고 봤는데 먼가 기대에 못미치는 마블영화였음	0
335	정말 재밌게 봤어요... 진짜 꿀잼..액션 대박..	1
336	마블 영화를 좋아하다면누구나 좋아할만한 영화	1
337	마블영화에서 리얼리티 운운하는 사람도 있구나!!ㅋㅋㅋㅋ	1
338	진짜 정말 그저 갓 영화 블랙위도우	1
339	씨발 알바쉐키들.. 액션씬 한두개나오고 끝	0
340	영화 재밌었어요 액션도 좋고	1
341	너무 재밌고 스칼렛 존멋존예 ㅜㅜ 액션씬도 시원시원하고 동생이랑의 케미도 좋았다	1
342	역시 믿고보는 마블..	1
344	마블도 슬슬 갈때가 됐나보다	0
346	믿고 보는 마블!!!	1
347	여성영화 존잼! 어벤저스 몰라도 볼수있음	1
349	낙하산들고 동생구하러 뛰는장면에서 지렸다 미쳤음	1
350	다 좋은데 헬리콥터 엔진 터트리면서 폭발에 기절하면서 날아가는데 다친곳 하나없이 멀쩡한것에서 별반개 빼요 거기서 조금 리얼리티가...	1
351	마블 영화 몰라도 재밌게 볼 수 있음. 스토리도 좋았으며 연출이 기가막힘	1
352	1세대 어벤져스멤버영화는 왠만하면 다 재밌는듯	1
353	마블의 히어로물 액션이라 보다는 인간미 넘치는 액션에 가까워서 더 좋았습니다.	1
354	잼썼음다??????	1
355	소문만 난치에 먹을게 없다	0
356	옐레나가 너무 귀엽고 영화가 친절해요	1
357	Gae Ssip Ssap No gam !!!	0
358	남자들 괜히 삐져가지고 평점 낮게주는거 투명한듯 ㅋㅋ	1
359	역시 마블은 기대를 저버리지 않네요	1
361	개꿀잼 오랜만에 볼만함	1
362	대박 꿀잼, 2번 봤음..오늘은 마지막에 울었..	1
363	아주 좋우 작품, 코로나 시원하게	1
364	서사 완벽. 떡밥 회수 완벽ㅠㅠ 돌아와 블위	1
365	플로렌스퓨의 캐스팅을 알았을때부터2대 블랙위도우로 손색이 없음을 알았다어리지만 당차고 눈빛이 강한 배우시크하고 거친 표정과 말투블랙위도우에 찰떡이였다그 캐릭터가 얼마나 안쓰럽냐면죽음에대한 공포조차 없이몸을 내던질 정도였다어린 소녀는 그렇게 강한 살인병기가 되었다나타샤도 물론 그렇게 살아왔겠지더욱 후반부로 갈수록 먹먹함에 눈물이 났다나타샤의 인생이 왜 이리도 어처구니 없는걸까그녀의 인생에 행복이란게 있긴 했을까그녀가 죽기전 어벤져스라는 가족을 위해화해한다며 떠나는 뒷모습과웅장하게 울려퍼지는 어벤져스 음악은그녀는 영원히 어벤져스 임을 상쇄시켜주었다남을 위해 살다간 그녀의 마지막조차남을 위해서라... 너무 가슴이 아팠다목이 메여왔다한편으로 끝나기엔 너무 듣고싶은 애기가 많은블랙위도우의 이야기..그녀에 대한 마블의 헌사..찰떡같인 연기해준 스칼렛에게도감사를 표하며...마블 그리고, 우리와의 작별 ..그리고 초능력자들 사이에서여자, 그리고 일반 사람의 몸으로어벤져스를 함께했던 ...그녀를 보내며굿바이 나타샤	1
367	이건 꼭 영화관에서 봐야됨.존잼!!	1
368	지루할 틈이 없었다. 너무 멋지다	1
369	또 보러 갈 예정 마지막 씬이 대박이었음	1
370	저는 너~무 재밌게 봤어요??	1
371	초중반 진행되는 이야기의 기대치가 굉장했습니다. 하지만 이야기의 끝이 다가 올 수록 아쉬운 부분이 많았다고 생각이 듭니다. 개인적으로는 이번 마블 작품이 캡틴 아메리카, 팔콘엔 윈터솔져 시리즈와 같은 재미를 느낄 수 있어서 너무도 좋았답니다.이번 마블영화도 극장에서 보는 것을 추천드려요 ㅎ	1
373	그냥 개재밌음 무조건 보세요. 마블팬이라면 무조건 봐야합니다 정말	1
374	이제 정말 나타샤를 떠나보낸다고 생각하니 눈물 줄줄..	1
376	너어무 재밌다 ㅋㅋㅋㅠ ㅠ	1
377	돈만 많았으면 재탕 365번 뛰엇음..	1
379	마블은 후회없다. 마블에 살짝 디즈니감성이 들어갔지만 재미있음^^	1
380	재미있습니;다	1
